Year,GLACNAME,num,AREA
2015,Piegan Glacier,24,244307.08
2015,Pumpelly Glacier,25,902787.3
2015,Rainbow Glacier,26,1053376.03
2015,Red Eagle Glacier,27,63685.24
2015,Salamander Glacier,28,176108.77
2015,Sexton Glacier,29,298681.73
2015,Shepard Glacier,30,70739.49
2015,Siyeh Glacier,31,205386.48
2015,Sperry Glacier,32,801670.14
2015,Stanton Glacier,33,268967.55
2015,Swiftcurrent Glacier,34,170348.1
2015,Thunderbird Glacier,35,107012.09
2015,Two Ocean Glacier,36,75172.89
2015,Vulture Glacier,37,296786.09
2015,Weasel Collar Glacier,38,499734.76
2015,Whitecrow Glacier,39,103824.86
