NUM,YEAR,MONTH,DATE,PPIN,TMINF,TMEANF,TMAXF
1,2015,3,2015-03,9.1,22.5,30.5,38.4
1,2015,4,2015-04,3.44,23.2,33.8,44.4
1,2015,5,2015-05,2.21,30,40.4,50.7
1,2015,6,2015-06,1.87,40.8,53.1,65.4
1,2015,7,2015-07,2.61,44.7,55.8,66.8
1,2015,8,2015-08,1.68,44.5,57.2,70
1,2015,9,2015-09,2.88,35.9,45,54
1,2015,10,2015-10,2.55,32.2,40.6,49
1,2015,11,2015-11,9.78,17.3,23.5,29.7
1,2015,12,2015-12,12.26,14.3,19.2,24
