NUM,YEAR,PPTIN,TMINF,TMEANF,TMAXF
4,1966,126.97,24.49,32.7,40.9
4,1967,120.59,24.41,32.82,41.22
4,1968,131.0,23.49,31.69,39.88
4,1969,94.72,24.3,32.71,41.16
4,1970,149.82,23.61,31.95,40.25
4,1971,141.46,23.21,31.35,39.49
4,1972,141.62,22.47,30.75,39.0
4,1973,111.64,23.89,32.26,40.65
4,1974,157.06,24.49,32.52,40.51
4,1975,147.79,22.09,29.92,37.72
4,1976,107.78,25.73,33.79,41.86
4,1977,108.51,23.89,32.04,40.18
4,1978,90.61,23.92,31.8,39.67
4,1979,86.2,25.13,33.41,41.68
4,1980,110.94,25.52,33.67,41.79
4,1981,82.97,26.28,34.43,42.61
4,1982,107.65,22.12,30.4,38.65
4,1983,83.23,24.73,32.89,41.04
4,1984,103.29,23.62,31.91,40.2
4,1985,88.97,21.67,29.94,38.23
4,1986,98.29,25.25,33.58,41.9
4,1987,77.55,26.28,34.82,43.38
4,1988,84.45,25.67,34.29,42.88
4,1989,115.07,22.46,30.68,38.91
4,1990,131.78,23.2,31.61,40.0
4,1991,96.2,23.84,32.39,40.93
4,1992,83.43,25.35,33.74,42.13
4,1993,81.66,22.55,30.72,38.92
4,1994,96.69,24.69,33.26,41.81
4,1995,121.23,23.62,31.83,40.04
4,1996,118.63,21.48,29.98,38.48
4,1997,106.27,24.29,32.43,40.53
4,1998,89.45,26.22,34.52,42.81
4,1999,105.0,25.47,33.29,41.14
4,2000,80.66,24.61,32.67,40.69
4,2001,81.31,25.5,33.66,41.81
4,2002,108.66,23.86,31.83,39.79
4,2003,89.96,26.13,34.43,42.73
4,2004,95.08,26.06,34.06,42.07
4,2005,91.84,25.19,33.57,41.97
4,2006,104.84,26.42,34.97,43.51
4,2007,82.29,26.16,34.61,43.06
4,2008,96.89,24.17,32.62,41.06
4,2009,87.17,24.18,32.73,41.28
4,2010,90.42,25.77,33.83,41.92
4,2011,113.94,24.31,32.49,40.68
4,2012,130.95,26.48,34.64,42.81
4,2013,94.09,25.94,34.14,42.36
4,2014,106.92,25.51,33.64,41.81
4,2015,77.59,28.03,36.32,44.64
5,1966,97.53,25.28,33.65,42.02
5,1967,103.04,25.52,34.02,42.51
5,1968,99.94,24.63,32.79,40.98
5,1969,76.86,24.78,33.37,41.9
5,1970,107.77,24.23,32.82,41.41
5,1971,98.05,23.91,32.23,40.56
5,1972,96.39,23.04,31.47,39.88
5,1973,87.33,24.69,33.22,41.77
5,1974,120.61,25.29,33.44,41.58
5,1975,118.34,23.02,30.94,38.86
5,1976,78.23,26.24,34.43,42.62
5,1977,72.64,24.29,32.7,41.1
5,1978,76.71,24.38,32.52,40.68
5,1979,60.64,24.83,33.65,42.47
5,1980,84.64,25.54,33.96,42.35
5,1981,69.73,26.68,34.93,43.17
5,1982,76.72,22.48,30.94,39.42
5,1983,64.43,25.21,33.57,41.95
5,1984,76.79,24.61,32.93,41.24
5,1985,70.16,22.42,30.62,38.84
5,1986,84.51,26.05,34.28,42.53
5,1987,60.63,27.12,35.72,44.33
5,1988,64.33,26.42,35.18,43.91
5,1989,88.72,23.34,31.49,39.63
5,1990,102.58,23.98,32.37,40.75
5,1991,77.78,24.48,33.28,42.08
5,1992,66.2,25.6,34.39,43.18
5,1993,67.1,23.32,31.71,40.12
5,1994,75.01,25.02,33.91,42.83
5,1995,97.82,24.0,32.52,41.02
5,1996,94.33,21.62,30.46,39.29
5,1997,80.79,24.62,33.03,41.45
5,1998,73.71,26.31,35.12,43.92
5,1999,83.11,26.11,34.08,42.05
